trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,compas,mlp_two_layer,0.07,0.257328478,0.008279808,0.024745872,0.108568114
1,compas,mlp_three_layer,0.07,0.257151847,0.008268434,0.024745872,0.062830261
1,compas,sgd_lr,0.09,0.175037218,0.003829039,0.022510255,0.093986044
1,compas,mlp_one_layer,0.09,0.251438094,0.007904757,0.022510255,0.110235598
1,compas,mlp_two_layer,0.09,0.260034315,0.008455014,0.022510255,0.11187617
1,compas,mlp_three_layer,0.09,0.270616188,0.009157873,0.022510255,0.115140763
1,compas,sgd_lr,0.11,0.176787361,0.003906026,0.020000928,0.080649157
1,compas,mlp_one_layer,0.11,0.231627738,0.006707327,0.020000928,0.098335261
1,compas,mlp_two_layer,0.11,0.239955165,0.007198672,0.020000928,0.10116009
1,compas,mlp_three_layer,0.11,0.237078663,0.007026981,0.020000928,0.088073049
1,compas,sgd_lr,0.13,0.172778534,0.003730816,0.017580975,0.081071725
1,compas,mlp_one_layer,0.13,0.246139935,0.007574859,0.017580975,0.100900808
1,compas,mlp_two_layer,0.13,0.252632751,0.007980118,0.017580975,0.10144847
1,compas,mlp_three_layer,0.13,0.212037504,0.005620062,0.017580975,0.086097172
1,compas,sgd_lr,0.15,0.188136364,0.00442388,0.016732502,0.076606555
1,compas,mlp_one_layer,0.15,0.257579373,0.008295976,0.016732502,0.09287634
1,compas,mlp_two_layer,0.15,0.25486757,0.008122057,0.016732502,0.091037251
1,compas,mlp_three_layer,0.15,0.263024332,0.008650762,0.016732502,0.095444283
1,compas,sgd_lr,0.17,0.196436472,0.004823046,0.01464123,0.079276266
1,compas,mlp_one_layer,0.17,0.260750261,0.008501681,0.01464123,0.099894129
1,compas,mlp_two_layer,0.17,0.266929065,0.008909776,0.01464123,0.099475737
1,compas,mlp_three_layer,0.17,0.262867327,0.008640427,0.01464123,0.085281079
1,compas,sgd_lr,0.19,0.196365663,0.004819568,0.01316777,0.072868331
1,compas,mlp_one_layer,0.19,0.248847499,0.007742569,0.01316777,0.094549227
1,compas,mlp_two_layer,0.19,0.245329315,0.007525006,0.01316777,0.097350124
1,compas,mlp_three_layer,0.19,0.244615096,0.007481219,0.01316777,0.090307766
1,compas,sgd_lr,0.21,0.178368566,0.003976242,0.011664745,0.058700659
1,compas,mlp_one_layer,0.21,0.239348495,0.007162289,0.011664745,0.079872505
1,compas,mlp_two_layer,0.21,0.241726661,0.007305441,0.011664745,0.078927861
1,compas,mlp_three_layer,0.21,0.22353158,0.006246314,0.011664745,0.075382735
1,compas,sgd_lr,0.23,0.211377923,0.00558513,0.010563115,0.064818138
1,compas,mlp_one_layer,0.23,0.247795404,0.007677182,0.010563115,0.080302665
1,compas,mlp_two_layer,0.23,0.249630016,0.007791382,0.010563115,0.080003448
1,compas,mlp_three_layer,0.23,0.237809996,0.007070436,0.010563115,0.070755144
1,compas,sgd_lr,0.25,0.19906726,0.004953169,0.009059923,0.060622995
1,compas,mlp_one_layer,0.25,0.236297089,0.00698069,0.009059923,0.081082417
1,compas,mlp_two_layer,0.25,0.239677893,0.007182032,0.009059923,0.078162832
1,compas,mlp_three_layer,0.25,0.239991905,0.007200878,0.009059923,0.074429985
1,compas,sgd_lr,0.27,0.212755177,0.005658194,0.007612393,0.062512423
1,compas,mlp_one_layer,0.27,0.25386242,0.008058062,0.007612393,0.079860976
1,compas,mlp_two_layer,0.27,0.243786576,0.007430585,0.007612393,0.07745086
1,compas,mlp_three_layer,0.27,0.258339752,0.008345074,0.007612393,0.075649185
1,compas,sgd_lr,0.29,0.204657293,0.00523542,0.006593189,0.056234513
1,compas,mlp_one_layer,0.29,0.248327025,0.007710187,0.006593189,0.075849745
1,compas,mlp_two_layer,0.29,0.243825828,0.00743298,0.006593189,0.077362344
1,compas,mlp_three_layer,0.29,0.241624293,0.00729925,0.006593189,0.060094005
